proposition,anomalie,date,journal,libelle,certitude,question_prealable,contre_passation_le,compte,tiers,debit,credit,note
P-01,ANO-01,2026-08-22,OD,Complément de l'écriture incomplète OD-2026-08-0142 (Froid Service FS-2231),certaine,,,44110013,F013,0.00,850.00,Ligne manquante à AJOUTER à l'écriture existante (pas une nouvelle écriture).
P-02,ANO-03,2026-08-31,OD,Contre-passation du doublon ED77812,certaine,,,44110001,F001,214560.00,0.00,
P-02,ANO-03,2026-08-31,OD,Contre-passation du doublon ED77812,certaine,,,6111,,0.00,178800.00,
P-02,ANO-03,2026-08-31,OD,Contre-passation du doublon ED77812,certaine,,,34552,,0.00,35760.00,
P-03,ANO-04,2026-08-25,OD,"Correction montant tronqué virement Transit Express TE-5521 (4 365,12 et non 365,12)",certaine,,,44110012,F012,4000.00,0.00,
P-03,ANO-04,2026-08-25,OD,"Correction montant tronqué virement Transit Express TE-5521 (4 365,12 et non 365,12)",certaine,,,51412,,0.00,4000.00,
P-04A,ANO-05,2026-08-14,OD,Commission réception virement international (A10),certaine,,,6147,,150.00,0.00,
P-04A,ANO-05,2026-08-14,OD,Commission réception virement international (A10),certaine,,,34552,,15.00,0.00,
P-04A,ANO-05,2026-08-14,OD,Commission réception virement international (A10),certaine,,,51411,,0.00,165.00,
P-04B,ANO-05,2026-08-30,OD,Frais de rejet chèque BTP Chaouia (A24),certaine,,,6147,,60.00,0.00,
P-04B,ANO-05,2026-08-30,OD,Frais de rejet chèque BTP Chaouia (A24),certaine,,,34552,,6.00,0.00,
P-04B,ANO-05,2026-08-30,OD,Frais de rejet chèque BTP Chaouia (A24),certaine,,,51411,,0.00,66.00,
P-04C,ANO-05,2026-08-28,OD,Frais et commissions Banque Omega (O04),certaine,,,6147,,200.00,0.00,
P-04C,ANO-05,2026-08-28,OD,Frais et commissions Banque Omega (O04),certaine,,,34552,,20.00,0.00,
P-04C,ANO-05,2026-08-28,OD,Frais et commissions Banque Omega (O04),certaine,,,51412,,0.00,220.00,
P-05,ANO-06,2026-08-31,OD,"TVA 10 % sur frais bancaires comptabilisés TTC (A06, A17)",certaine,,,34552,,40.00,0.00,
P-05,ANO-06,2026-08-31,OD,"TVA 10 % sur frais bancaires comptabilisés TTC (A06, A17)",certaine,,,6147,,0.00,40.00,
P-06,ANO-07,2026-08-30,OD,Chèque impayé BTP Chaouia n° 7781204,certaine,,,34210003,C003,24000.00,0.00,
P-06,ANO-07,2026-08-30,OD,Chèque impayé BTP Chaouia n° 7781204,certaine,,,51411,,0.00,24000.00,
P-07,ANO-08,2026-08-19,OD,Virement interne Alpha → Omega enregistré en chiffre d’affaires,certaine,,,7111,,50000.00,0.00,
P-07,ANO-08,2026-08-19,OD,Virement interne Alpha → Omega enregistré en chiffre d’affaires,certaine,,,5115,,0.00,50000.00,
P-08,ANO-09,2026-08-18,OD,Retrait GAB = alimentation de la caisse,certaine,,,5161,,5000.00,0.00,
P-08,ANO-09,2026-08-18,OD,Retrait GAB = alimentation de la caisse,certaine,,,61431,,0.00,5000.00,
P-09,ANO-10,2026-08-31,OD,Restitution caution ancien local (virement REF 88213),apres_reponse_client,Q01,,4497,,7500.00,0.00,
P-09,ANO-10,2026-08-31,OD,Restitution caution ancien local (virement REF 88213),apres_reponse_client,Q01,,2486,,0.00,7500.00,
P-10,ANO-12,2026-08-15,OD,Apport en espèces du gérant en compte courant,apres_reponse_client,Q03,,5161,,10000.00,0.00,
P-10,ANO-12,2026-08-15,OD,Apport en espèces du gérant en compte courant,apres_reponse_client,Q03,,4463,,0.00,10000.00,
P-11,ANO-13,2026-08-31,OD,TVA non déductible — règlement espèces TE-5498 au-delà de 5 000 MAD,certaine,,,6142,,1166.67,0.00,
P-11,ANO-13,2026-08-31,OD,TVA non déductible — règlement espèces TE-5498 au-delà de 5 000 MAD,certaine,,,34552,,0.00,1166.67,
P-12,ANO-15,2026-08-29,OD,Écart de règlement Anfa Park FAC-2026-0426 (frais bancaires émetteur),certaine,,,6147,,16.36,0.00,
P-12,ANO-15,2026-08-29,OD,Écart de règlement Anfa Park FAC-2026-0426 (frais bancaires émetteur),certaine,,,34552,,1.64,0.00,
P-12,ANO-15,2026-08-29,OD,Écart de règlement Anfa Park FAC-2026-0426 (frais bancaires émetteur),certaine,,,34210001,C001,0.00,18.00,
P-13,ANO-16,2026-08-14,OD,"Perte de change réalisée EUROLUX (10,62 → 10,575)",certaine,,,6331,,427.50,0.00,
P-13,ANO-16,2026-08-14,OD,"Perte de change réalisée EUROLUX (10,62 → 10,575)",certaine,,,34210005,C005,0.00,427.50,
P-14,ANO-17,2026-08-22,OD,"Perte de change réalisée Shenzhen Brightway (USD 12 000 : 9,18 → 9,26)",certaine,,,6331,,960.00,0.00,
P-14,ANO-17,2026-08-22,OD,"Perte de change réalisée Shenzhen Brightway (USD 12 000 : 9,18 → 9,26)",certaine,,,44110002,F002,0.00,960.00,
P-15,ANO-20,2026-08-25,OD,Facture client FAC-2026-0428 Clinique Al Amal non comptabilisée,certaine,,,34210004,C004,12000.00,0.00,
P-15,ANO-20,2026-08-25,OD,Facture client FAC-2026-0428 Clinique Al Amal non comptabilisée,certaine,,,7111,,0.00,10000.00,
P-15,ANO-20,2026-08-25,OD,Facture client FAC-2026-0428 Clinique Al Amal non comptabilisée,certaine,,,4455,,0.00,2000.00,
