tiers,compte,type,rapprochement,montant
C001,34210001,total,FAC-2026-0412 ↔ A03,118800
C001,34210001,avec_ecart,FAC-2026-0426 ↔ A22 + P-12 (écart 18),72000
C001,34210001,total,FAC-2026-0429 ↔ RCHQ-0831,9600
C002,34210002,total,FAC-2026-0427 ↔ A14,43200
C004,34210004,total,FAC-2026-0418 + FAC-2026-0421 ↔ A05 + A21,96000
C005,34210005,avec_ecart,FAC-2026-0425 ↔ A09 + P-13 (change),100890.00
C003,34210003,total,A15 (remise) ↔ P-06 (impayé) — FAC-2025-0877 reste ouverte,24000
F001,44110001,total,ED-77812 ↔ A07,214560
F001,44110001,total,ED77812 (doublon) ↔ P-02,214560
F002,44110002,partiel,INV-BW-2026-118 ↔ A16 + P-14 — reste USD 8 000,112080
F003,44110003,total,REG-2026-07-88120 ↔ A11,4560
F004,44110004,total,TN-2026-08 ↔ A18,2400
F005,44110005,total,SC-2026-1187 ↔ A01,43200
F010,44110010,total,IT-2026-0933 ↔ A08,34800
F012,44110012,total,TE-5498 ↔ CAI TE-5498,12000
F012,44110012,total,TE-5521 ↔ O03 + P-03,4365.12
F012,44110012,total,TE-5530 ↔ CHQ-0004521,3120
