id_ligne,date_operation,date_valeur,libelle,debit,credit,statut_plateforme
A01,2026-08-01,2026-08-01,PRLV SOFTCLOUD ERP SARL ABONNEMENT SC-2026-1187,43200.00,0.00,comptabilisée
A02,2026-08-04,2026-08-04,CHQ N 0004512,8400.00,0.00,non rapprochée
A03,2026-08-05,2026-08-05,VIR RECU GROUPE IMMOBILIER ANFA PARK REF FAC 2026-0412,0.00,118800.00,comptabilisée
A04,2026-08-06,2026-08-06,VIR EMIS BENNANI KARIM LOYER AOUT 2026,17000.00,0.00,comptabilisée
A05,2026-08-07,2026-08-07,VIR RECU CLINIQUE AL AMAL SA,0.00,50000.00,comptabilisée
A06,2026-08-08,2026-08-08,FRAIS TENUE DE COMPTE JUILLET TTC,110.00,0.00,comptabilisée
A07,2026-08-11,2026-08-11,VIR EMIS ELECTRODISTRIB MAROC FACT ED-77812,214560.00,0.00,comptabilisée
A08,2026-08-12,2026-08-12,VIR EMIS INFOTECH DISTRIBUTION IT-2026-0933,34800.00,0.00,comptabilisée
A09,2026-08-14,2026-08-13,"VIR INTL RECU EUROLUX SAS EUR 9500,00 COURS 10,5750",0.00,100462.50,comptabilisée
A10,2026-08-14,2026-08-14,COM RECEPTION VIR INTL + TVA,165.00,0.00,non catégorisée
A11,2026-08-18,2026-08-18,PRLV REDEC FACTURE REG-2026-07-88120,4560.00,0.00,comptabilisée
A12,2026-08-18,2026-08-18,RETRAIT GAB 004512 CASA ABDELMOUMEN,5000.00,0.00,comptabilisée
A13,2026-08-19,2026-08-19,VIR EMIS ATLAS NEGOCE VERS BANQUE OMEGA,50000.00,0.00,comptabilisée
A14,2026-08-20,2026-08-20,VIR RECU HOTEL RIAD ZITOUN FAC 2026-0427,0.00,43200.00,comptabilisée
A15,2026-08-21,2026-08-22,REMISE CHQ N 7781204 BTP CHAOUIA,0.00,24000.00,comptabilisée
A16,2026-08-22,2026-08-21,"VIR INTL EMIS SHENZHEN BRIGHTWAY USD 12000,00 COURS 9,2600",111120.00,0.00,comptabilisée
A17,2026-08-22,2026-08-22,COM VIR INTL EMIS + TVA,330.00,0.00,comptabilisée
A18,2026-08-26,2026-08-26,PRLV TELCONET SA FACTURE AOUT,2400.00,0.00,comptabilisée
A19,2026-08-27,2026-08-27,VIR EMIS DGI TVA 07/2026 SIMPL,18240.00,0.00,comptabilisée
A20,2026-08-28,2026-08-28,VIR EMIS CNSS DAMANCOM 07/2026,12860.40,0.00,comptabilisée
A21,2026-08-29,2026-08-29,VIR RECU CLINIQUE AL AMAL SA SOLDE,0.00,46000.00,comptabilisée
A22,2026-08-29,2026-08-29,VIR RECU GRP IMMOBILIER ANFA PARK FAC 0426,0.00,71982.00,comptabilisée
A23,2026-08-30,2026-08-29,CHQ IMPAYE N 7781204 BTP CHAOUIA MOTIF SANS PROVISION,24000.00,0.00,non catégorisée
A24,2026-08-30,2026-08-30,FRAIS REJET CHQ + TVA,66.00,0.00,non catégorisée
A25,2026-08-31,2026-08-31,VIR RECU REF 88213,0.00,7500.00,comptabilisée
A26,2026-08-31,2026-08-31,VIR EMIS SALAIRES AOUT 2026 (6 BENEF),49747.39,0.00,comptabilisée
