date,devise_1,cours_1,devise_2,cours_2
2026-08-03,USD,9.1800,EUR,10.6200
2026-08-04,USD,9.1850,EUR,10.6200
2026-08-05,USD,9.1900,EUR,10.6200
2026-08-06,USD,9.1938,EUR,10.6144
2026-08-07,USD,9.1975,EUR,10.6088
2026-08-10,USD,9.2088,EUR,10.5919
2026-08-11,USD,9.2125,EUR,10.5862
2026-08-12,USD,9.2162,EUR,10.5806
2026-08-13,USD,9.2200,EUR,10.5750
2026-08-14,USD,9.2250,EUR,10.5781
2026-08-17,USD,9.2400,EUR,10.5875
2026-08-18,USD,9.2450,EUR,10.5906
2026-08-19,USD,9.2500,EUR,10.5938
2026-08-20,USD,9.2550,EUR,10.5969
2026-08-21,USD,9.2600,EUR,10.6000
2026-08-24,USD,9.2750,EUR,10.6180
2026-08-25,USD,9.2800,EUR,10.6240
2026-08-26,USD,9.2850,EUR,10.6300
2026-08-27,USD,9.2900,EUR,10.6360
2026-08-28,USD,9.2950,EUR,10.6420
2026-08-31,USD,9.3100,EUR,10.6600
