ecriture_id,journal,piece,date_ecriture,date_piece,saisie_le,saisie_par,ligne,compte,compte_libelle,tiers,libelle,debit,credit,devise,montant_devise,taux_change,justificatif,ref_banque
E-2026-08-0001,OD,OD-2026-07-0093,2026-07-28,2026-07-28,2026-08-19T16:42:11,collab.fz,1,6134,Primes d'assurances,,Régul assurance juillet,1500.00,0.00,MAD,,,,
E-2026-08-0001,OD,OD-2026-07-0093,2026-07-28,2026-07-28,2026-08-19T16:42:11,collab.fz,2,4411,Fournisseurs (collectif — ne pas mouvementer directement),,Régul assurance juillet,0.00,1500.00,MAD,,,,
E-2026-08-0002,ACH,SC-2026-1187,2026-08-01,2026-08-01,2026-08-01T10:00:00,agent.import,1,6131,Locations et charges locatives,,SoftCloud ERP — abonnement annuel,36000.00,0.00,MAD,,,FAC_ACHAT/SC-2026-1187_SoftCloud.pdf,
E-2026-08-0002,ACH,SC-2026-1187,2026-08-01,2026-08-01,2026-08-01T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,SoftCloud ERP — abonnement annuel,7200.00,0.00,MAD,,,FAC_ACHAT/SC-2026-1187_SoftCloud.pdf,
E-2026-08-0002,ACH,SC-2026-1187,2026-08-01,2026-08-01,2026-08-01T10:00:00,agent.import,3,44110005,Fournisseurs — SoftCloud ERP SARL,F005,SoftCloud ERP — abonnement annuel,0.00,43200.00,MAD,,,FAC_ACHAT/SC-2026-1187_SoftCloud.pdf,
E-2026-08-0003,BQ1,A01,2026-08-01,2026-08-01,2026-08-01T10:00:00,agent.import,1,44110005,Fournisseurs — SoftCloud ERP SARL,F005,PRLV SoftCloud SC-2026-1187,43200.00,0.00,MAD,,,,ALPHA:A01
E-2026-08-0003,BQ1,A01,2026-08-01,2026-08-01,2026-08-01T10:00:00,agent.import,2,51411,Banque Alpha — compte courant,,PRLV SoftCloud SC-2026-1187,0.00,43200.00,MAD,,,,ALPHA:A01
E-2026-08-0004,ACH,ED-77812,2026-08-03,2026-08-03,2026-08-03T10:00:00,agent.import,1,6111,Achats de marchandises,,ElectroDistrib — marchandises,178800.00,0.00,MAD,,,FAC_ACHAT/ED-77812_ElectroDistrib.pdf,
E-2026-08-0004,ACH,ED-77812,2026-08-03,2026-08-03,2026-08-03T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,ElectroDistrib — marchandises,35760.00,0.00,MAD,,,FAC_ACHAT/ED-77812_ElectroDistrib.pdf,
E-2026-08-0004,ACH,ED-77812,2026-08-03,2026-08-03,2026-08-03T10:00:00,agent.import,3,44110001,Fournisseurs — ElectroDistrib Maroc SA,F001,ElectroDistrib — marchandises,0.00,214560.00,MAD,,,FAC_ACHAT/ED-77812_ElectroDistrib.pdf,
E-2026-08-0005,ACH,INV-BW-2026-118,2026-08-03,2026-08-03,2026-08-03T10:00:00,agent.import,1,6111,Achats de marchandises,,"Shenzhen Brightway — lot LED (USD 20 000 @ 9,18)",183600.00,0.00,MAD,,,FAC_ACHAT/INV-BW-2026-118_Shenzhen.pdf,
E-2026-08-0005,ACH,INV-BW-2026-118,2026-08-03,2026-08-03,2026-08-03T10:00:00,agent.import,2,44110002,"Fournisseurs — Shenzhen Brightway Lighting Co., Ltd (USD)",F002,"Shenzhen Brightway — lot LED (USD 20 000 @ 9,18)",0.00,183600.00,USD,20000.00,9.1800,FAC_ACHAT/INV-BW-2026-118_Shenzhen.pdf,
E-2026-08-0006,ACH,REG-2026-07-88120,2026-08-04,2026-07-31,2026-08-04T10:00:00,agent.import,1,61251,"Achats de fournitures non stockables (eau, électricité)",,REDEC — électricité juillet 2026,4000.00,0.00,MAD,,,FAC_ACHAT/REG-2026-07-88120_REDEC.pdf,
E-2026-08-0006,ACH,REG-2026-07-88120,2026-08-04,2026-07-31,2026-08-04T10:00:00,agent.import,2,34552,État — TVA récupérable sur charges,,REDEC — électricité juillet 2026,560.00,0.00,MAD,,,FAC_ACHAT/REG-2026-07-88120_REDEC.pdf,
E-2026-08-0006,ACH,REG-2026-07-88120,2026-08-04,2026-07-31,2026-08-04T10:00:00,agent.import,3,44110003,Fournisseurs — REDEC Régie Eau & Électricité,F003,REDEC — électricité juillet 2026,0.00,4560.00,MAD,,,FAC_ACHAT/REG-2026-07-88120_REDEC.pdf,
