compte,mois,solde_debiteur_positif
7111,2026-01,-640000.00
7111,2026-02,-670000.00
7111,2026-03,-755000.00
7111,2026-04,-695000.00
7111,2026-05,-745000.00
7111,2026-06,-730000.00
7111,2026-07,-765000.00
7113,2026-01,-53760.00
7113,2026-02,-56280.00
7113,2026-03,-63420.00
7113,2026-04,-58380.00
7113,2026-05,-62580.00
7113,2026-06,-61320.00
7113,2026-07,-64260.00
7124,2026-01,-143360.00
7124,2026-02,-150080.00
7124,2026-03,-169120.00
7124,2026-04,-155680.00
7124,2026-05,-166880.00
7124,2026-06,-163520.00
7124,2026-07,-171360.00
7331,2026-01,-147.20
7331,2026-02,-154.10
7331,2026-03,-173.65
7331,2026-04,-159.85
7331,2026-05,-171.35
7331,2026-06,-167.90
7331,2026-07,-175.95
6111,2026-01,595200.00
6111,2026-02,623100.00
6111,2026-03,702150.00
6111,2026-04,646350.00
6111,2026-05,692850.00
6111,2026-06,678900.00
6111,2026-07,711450.00
6114,2026-01,-4480.00
6114,2026-02,-4690.00
6114,2026-03,-5285.00
6114,2026-04,-4865.00
6114,2026-05,-5215.00
6114,2026-06,-5110.00
6114,2026-07,-5355.00
6125,2026-01,2355.20
6125,2026-02,2465.60
6125,2026-03,2778.40
6125,2026-04,2557.60
6125,2026-05,2741.60
6125,2026-06,2686.40
6125,2026-07,2815.20
61251,2026-01,3993.60
61251,2026-02,4180.80
61251,2026-03,4711.20
61251,2026-04,4336.80
61251,2026-05,4648.80
61251,2026-06,4555.20
61251,2026-07,4773.60
61253,2026-01,1574.40
61253,2026-02,1648.20
61253,2026-03,1857.30
61253,2026-04,1709.70
61253,2026-05,1832.70
61253,2026-06,1795.80
61253,2026-07,1881.90
61254,2026-01,1260.80
61254,2026-02,1319.90
61254,2026-03,1487.35
61254,2026-04,1369.15
61254,2026-05,1467.65
61254,2026-06,1438.10
61254,2026-07,1507.05
6131,2026-01,21428.57
6131,2026-02,21428.57
6131,2026-03,21428.57
6131,2026-04,21428.57
6131,2026-05,21428.57
6131,2026-06,21428.57
6131,2026-07,21428.58
6133,2026-01,1817.60
6133,2026-02,1902.80
6133,2026-03,2144.20
6133,2026-04,1973.80
6133,2026-05,2115.80
6133,2026-06,2073.20
6133,2026-07,2172.60
6134,2026-01,1850.00
6134,2026-02,1850.00
6134,2026-03,1850.00
6134,2026-04,1850.00
6134,2026-05,1850.00
6134,2026-06,1850.00
6134,2026-07,1850.00
61365,2026-01,7168.00
61365,2026-02,7504.00
61365,2026-03,8456.00
61365,2026-04,7784.00
61365,2026-05,8344.00
61365,2026-06,8176.00
61365,2026-07,8568.00
6142,2026-01,11315.20
6142,2026-02,11845.60
6142,2026-03,13348.40
6142,2026-04,12287.60
6142,2026-05,13171.60
6142,2026-06,12906.40
6142,2026-07,13525.20
61431,2026-01,2854.40
61431,2026-02,2988.20
61431,2026-03,3367.30
61431,2026-04,3099.70
61431,2026-05,3322.70
61431,2026-06,3255.80
61431,2026-07,3411.90
61436,2026-01,1254.40
61436,2026-02,1313.20
61436,2026-03,1479.80
61436,2026-04,1362.20
61436,2026-05,1460.20
61436,2026-06,1430.80
61436,2026-07,1499.40
6145,2026-01,1792.00
6145,2026-02,1876.00
6145,2026-03,2114.00
6145,2026-04,1946.00
6145,2026-05,2086.00
6145,2026-06,2044.00
6145,2026-07,2142.00
6147,2026-01,623.36
6147,2026-02,652.58
6147,2026-03,735.37
6147,2026-04,676.93
6147,2026-05,725.63
6147,2026-06,711.02
6147,2026-07,745.11
6167,2026-01,2368.00
6167,2026-02,2479.00
6167,2026-03,2793.50
6167,2026-04,2571.50
6167,2026-05,2756.50
6167,2026-06,2701.00
6167,2026-07,2830.50
6331,2026-01,409.60
6331,2026-02,428.80
6331,2026-03,483.20
6331,2026-04,444.80
6331,2026-05,476.80
6331,2026-06,467.20
6331,2026-07,489.60
61711,2026-01,59400.00
61711,2026-02,59400.00
61711,2026-03,59400.00
61711,2026-04,59400.00
61711,2026-05,59400.00
61711,2026-06,59400.00
61711,2026-07,59400.00
61741,2026-01,10372.26
61741,2026-02,10372.26
61741,2026-03,10372.26
61741,2026-04,10372.26
61741,2026-05,10372.26
61741,2026-06,10372.26
61741,2026-07,10372.26
6193,2026-01,12409.53
6193,2026-02,12409.53
6193,2026-03,12409.53
6193,2026-04,12409.53
6193,2026-05,12409.53
6193,2026-06,12409.53
6193,2026-07,12409.51
6311,2026-01,2631.83
6311,2026-02,2631.83
6311,2026-03,2631.83
6311,2026-04,2631.83
6311,2026-05,2631.83
6311,2026-06,2631.83
6311,2026-07,2631.84
